Scan Variable	Counts	P0 Cam	P1 Cam	P2 Cam	P3 Cam	P4 Cam	P5 Cam	P6 Cam	Parity	Ion 0	Ion 1	Ion 2	Ion 3	Ion 4	Ion 5
35.555	10.624	0	0.0020000001	0.017999999	0.13600001	0.33000001	0.36399999	0.15000001	-0.0039999783	0.94999999	0.91799998	0.82999998	0.75999999	0.60600001	0.42199999
67.795998	10.364	0	0.0020000001	0.017999999	0.132	0.354	0.338	0.156	-0.93200004	0.95200002	0.89999998	0.824	0.73000002	0.62400001	0.44600001
99.941002	10.554	0	0.0020000001	0.026000001	0.112	0.34	0.35600001	0.164	-0.92799997	0.94	0.898	0.838	0.75199997	0.62800002	0.458
132.243	10.548	0	0.0020000001	0.034000002	0.118	0.31200001	0.37200001	0.162	-0.96799988	0.94800001	0.91000003	0.81199998	0.73000002	0.61799997	0.486
164.444	10.28	0	0.0040000002	0.029999999	0.162	0.31799999	0.34799999	0.138	-0.98399997	0.93599999	0.88200003	0.80400002	0.70999998	0.62	0.43799999
196.647	9.8339996	0	0.0060000001	0.037999999	0.148	0.34799999	0.32800001	0.132	-0.92000008	0.94199997	0.87599999	0.81400001	0.69	0.59200001	0.43599999
228.83	10.254	0	0.0060000001	0.035999998	0.118	0.352	0.34999999	0.138	-0.92799997	0.94999999	0.89600003	0.81	0.71200001	0.58399999	0.46599999
261.03101	10.486	0	0.0020000001	0.034000002	0.13600001	0.30199999	0.38600001	0.14	-1.012	0.94	0.88800001	0.82599998	0.736	0.59600002	0.47
293.21201	10.46	0	0.0060000001	0.022	0.13	0.384	0.338	0.12	0.052000009	0.95200002	0.88599998	0.824	0.69800001	0.56199998	0.46399999
325.41501	10.206	0	0.0080000004	0.029999999	0.164	0.33399999	0.34999999	0.114	-1.0120002	0.94800001	0.86400002	0.79000002	0.70200002	0.55800003	0.46799999
357.59698	10.818	0	0.0020000001	0.041999999	0.102	0.27200001	0.40799999	0.17399999	-0.99999976	0.954	0.89200002	0.84799999	0.75	0.63999999	0.47999999
389.77802	10.302	0	0.0060000001	0.024	0.146	0.33000001	0.36199999	0.132	-0.97599995	0.94	0.87	0.81	0.72399998	0.59799999	0.472
421.94199	10.306	0	0.0020000001	0.035999998	0.13600001	0.322	0.36199999	0.142	-0.97999996	0.93000001	0.91399997	0.81199998	0.69	0.61199999	0.47400001
454.142	9.9320002	0	0.0040000002	0.035999998	0.138	0.31600001	0.35800001	0.148	-0.96800005	0.92199999	0.89200002	0.81999999	0.72000003	0.57599998	0.50199997
486.32401	10.164	0	0.0020000001	0.026000001	0.16	0.31600001	0.35600001	0.14	-1.012	0.93599999	0.88999999	0.79799998	0.73799998	0.59399998	0.46200001
518.52502	10.048	0	0	0.02	0.13600001	0.34999999	0.35800001	0.13600001	-0.96000004	0.958	0.90200001	0.82800001	0.73400003	0.59399998	0.43799999
550.68903	9.9259996	0	0.0040000002	0.017999999	0.132	0.35800001	0.35600001	0.132	-0.96000004	0.91799998	0.91600001	0.82200003	0.71799999	0.616	0.44999999
582.89099	9.9099998	0	0.0040000002	0.024	0.146	0.292	0.38999999	0.14399999	-1.0439999	0.954	0.88999999	0.81800002	0.72399998	0.62	0.46599999
615.07001	10.288	0.012	0.014	0.035999998	0.14	0.278	0.35600001	0.164	-0.94400001	0.912	0.866	0.80000001	0.71799999	0.61000001	0.47600001
647.27399	9.5200005	0	0.0040000002	0.034000002	0.152	0.354	0.33399999	0.122	-0.92000008	0.93000001	0.90200001	0.80599999	0.69199997	0.58399999	0.43200001
679.461	9.3520002	0	0.0080000004	0.057999998	0.16	0.368	0.28999999	0.116	-0.85999995	0.94800001	0.82999998	0.78200001	0.68800002	0.58200002	0.39199999
711.64099	9.5640001	0	0.016000001	0.054000001	0.19400001	0.324	0.31200001	0.1	-0.97199988	0.92400002	0.87	0.79799998	0.66799998	0.51200002	0.38999999
743.88098	9.658	0	0.0060000001	0.048	0.18000001	0.34999999	0.31600001	0.1	-0.93199992	0.91399997	0.87	0.76800001	0.67199999	0.56599998	0.43200001
776.06598	10.308	0	0.0080000004	0.028000001	0.164	0.26800001	0.33399999	0.198	-0.97200006	0.92000002	0.87	0.81999999	0.75999999	0.62199998	0.49399999
808.26898	10.332	0	0.0040000002	0.026000001	0.164	0.32800001	0.34400001	0.134	-0.97600001	0.95200002	0.88800001	0.79799998	0.69800001	0.60399997	0.44400001
840.48602	10.52	0	0.0020000001	0.032000002	0.15000001	0.30000001	0.38	0.13600001	-1.048	0.95599997	0.90799999	0.80400002	0.70999998	0.61199999	0.442
872.64801	10.1	0	0.0040000002	0.039999999	0.162	0.354	0.30399999	0.13600001	-0.89600003	0.93800002	0.87800002	0.80199999	0.70999998	0.55000001	0.44400001
904.80402	10.3	0	0.0080000004	0.039999999	0.168	0.352	0.31799999	0.114	-0.96399993	0.93400002	0.83999997	0.79400003	0.73400003	0.542	0.43000001
937.026	10.03	0	0.0020000001	0.028000001	0.168	0.34	0.324	0.138	-0.94799995	0.94800001	0.866	0.82200003	0.70200002	0.574	0.458
969.20599	10.084	0	0	0.032000002	0.15000001	0.36199999	0.32800001	0.12800001	-0.91600013	0.92799997	0.84799999	0.80400002	0.74199998	0.60000002	0.44800001
1001.414	10.552	0	0.0060000001	0.024	0.12800001	0.34200001	0.368	0.132	-0.96800005	0.93199998	0.87800002	0.84600002	0.73400003	0.59799999	0.44999999
1033.5811	9.9180002	0	0.0020000001	0.029999999	0.124	0.354	0.36000001	0.13	-0.93599999	0.94599998	0.86799997	0.84799999	0.72399998	0.616	0.428
1065.756	10.21	0	0	0.032000002	0.126	0.33000001	0.37200001	0.14	-0.97199988	0.94199997	0.88	0.82999998	0.72799999	0.60399997	0.47799999
1098.04	10.254	0	0	0.024	0.112	0.31400001	0.37	0.18000001	-0.92800003	0.94800001	0.89999998	0.82599998	0.77399999	0.66600001	0.456
1130.205	10.498	0	0.0060000001	0.017999999	0.112	0.324	0.36399999	0.176	-0.93599999	0.93599999	0.92000002	0.84799999	0.736	0.63200003	0.47799999
1162.386	10.568	0	0.0040000002	0.02	0.13	0.34999999	0.36199999	0.134	-0.96799988	0.93800002	0.87599999	0.81199998	0.73799998	0.62400001	0.46000001
1194.647	10.482	0	0.0080000004	0.026000001	0.108	0.33199999	0.38999999	0.13600001	-0.95999992	0.93400002	0.88599998	0.838	0.77600002	0.57800001	0.46599999
1226.829	10.218	0	0.0040000002	0.032000002	0.15000001	0.324	0.36199999	0.12800001	-1.02	0.94599998	0.884	0.838	0.722	0.55800003	0.44400001
1259.051	9.9919996	0	0.0040000002	0.017999999	0.15800001	0.34400001	0.31600001	0.16	-0.92400014	0.94999999	0.88599998	0.77200001	0.72399998	0.602	0.49599999
1291.2729	10.382	0	0	0.050000001	0.122	0.28400001	0.37799999	0.16599999	-0.98399997	0.94400001	0.89200002	0.82200003	0.73000002	0.64999998	0.44999999
1323.454	10.204	0	0.0020000001	0.035999998	0.11	0.31799999	0.38	0.154	-0.94800001	0.95200002	0.90399998	0.82999998	0.73199999	0.61400002	0.46799999
1355.635	10.288	0	0	0.026000001	0.104	0.36399999	0.37200001	0.134	-0.912	0.94999999	0.90799999	0.81800002	0.72600001	0.61400002	0.46799999
1387.806	10.156	0	0.0060000001	0.022	0.132	0.36199999	0.384	0.093999997	-1.0159999	0.94199997	0.90600002	0.81	0.722	0.59200001	0.40599999
1419.99	10.32	0	0	0.017999999	0.097999997	0.324	0.368	0.192	-0.89600003	0.94199997	0.90200001	0.852	0.78200001	0.64999998	0.49000001
1452.175	10.128	0	0.0040000002	0.024	0.12800001	0.35600001	0.36399999	0.124	-0.94800001	0.92199999	0.88	0.83600003	0.74199998	0.60399997	0.44
1484.373	10.386	0	0.0020000001	0.026000001	0.134	0.324	0.36000001	0.154	-0.97199994	0.93599999	0.87800002	0.78600001	0.76599997	0.63800001	0.472
1516.547	10.066	0	0	0.017999999	0.17	0.31	0.34400001	0.15800001	-1.012	0.958	0.87400001	0.83200002	0.71799999	0.61199999	0.46000001
1548.83	10.57	0	0.0020000001	0.024	0.122	0.31400001	0.40000001	0.138	-1.036	0.94999999	0.88800001	0.81199998	0.74199998	0.63599998	0.472
1581.1121	10.516	0	0.0020000001	0.029999999	0.118	0.33000001	0.36199999	0.15800001	-0.93599999	0.94400001	0.88599998	0.82999998	0.75400001	0.60600001	0.47400001
1613.418	10.628	0	0	0.028000001	0.14399999	0.31	0.366	0.152	-0.99999994	0.93800002	0.91000003	0.83600003	0.69999999	0.57599998	0.50999999
1645.741	10.104	0	0.0060000001	0.035999998	0.13	0.322	0.37599999	0.13	-0.99599993	0.93599999	0.87	0.83399999	0.722	0.58600003	0.46799999
