%scan variable	meanExc\tparity	pn(0)	pn(1)	pn(2)	pn(3)	pn(4)	pn(5)	pn(6)
0.000001	0.747667	0.000000	0.002000	0.018000	0.136000	0.330000	0.364000	0.150000
4.000001	0.746000	0.000000	0.002000	0.018000	0.132000	0.354000	0.338000	0.156000
8.000001	0.752333	0.000000	0.002000	0.026000	0.112000	0.340000	0.356000	0.164000
12.000001	0.750667	0.000000	0.002000	0.034000	0.118000	0.312000	0.372000	0.162000
16.000002	0.731667	0.000000	0.004000	0.030000	0.162000	0.318000	0.348000	0.138000
20.000002	0.725000	0.000000	0.006000	0.038000	0.148000	0.348000	0.328000	0.132000
24.000002	0.736333	0.000000	0.006000	0.036000	0.118000	0.352000	0.350000	0.138000
28.000002	0.742667	0.000000	0.002000	0.034000	0.136000	0.302000	0.386000	0.140000
32.000000	0.731000	0.000000	0.006000	0.022000	0.130000	0.384000	0.338000	0.120000
36.000000	0.721667	0.000000	0.008000	0.030000	0.164000	0.334000	0.350000	0.114000
40.000000	0.760667	0.000000	0.002000	0.042000	0.102000	0.272000	0.408000	0.174000
44.000000	0.735667	0.000000	0.006000	0.024000	0.146000	0.330000	0.362000	0.132000
48.000000	0.738667	0.000000	0.002000	0.036000	0.136000	0.322000	0.362000	0.142000
52.000000	0.738667	0.000000	0.004000	0.036000	0.138000	0.316000	0.358000	0.148000
56.000000	0.736333	0.000000	0.002000	0.026000	0.160000	0.316000	0.356000	0.140000
60.000000	0.742333	0.000000	0.000000	0.020000	0.136000	0.350000	0.358000	0.136000
64.000000	0.740000	0.000000	0.004000	0.018000	0.132000	0.358000	0.356000	0.132000
68.000000	0.745333	0.000000	0.004000	0.024000	0.146000	0.292000	0.390000	0.144000
72.000000	0.730333	0.012000	0.014000	0.036000	0.140000	0.278000	0.356000	0.164000
76.000000	0.724333	0.000000	0.004000	0.034000	0.152000	0.354000	0.334000	0.122000
80.000000	0.703667	0.000000	0.008000	0.058000	0.160000	0.368000	0.290000	0.116000
84.000000	0.693667	0.000000	0.016000	0.054000	0.194000	0.324000	0.312000	0.100000
88.000000	0.703667	0.000000	0.006000	0.048000	0.180000	0.350000	0.316000	0.100000
92.000000	0.747667	0.000000	0.008000	0.028000	0.164000	0.268000	0.334000	0.198000
96.000000	0.730667	0.000000	0.004000	0.026000	0.164000	0.328000	0.344000	0.134000
100.000000	0.738667	0.000000	0.002000	0.032000	0.150000	0.300000	0.380000	0.136000
104.000000	0.720333	0.000000	0.004000	0.040000	0.162000	0.354000	0.304000	0.136000
108.000000	0.712333	0.000000	0.008000	0.040000	0.168000	0.352000	0.318000	0.114000
112.000000	0.728333	0.000000	0.002000	0.028000	0.168000	0.340000	0.324000	0.138000
116.000000	0.728333	0.000000	0.000000	0.032000	0.150000	0.362000	0.328000	0.128000
120.000000	0.739667	0.000000	0.006000	0.024000	0.128000	0.342000	0.368000	0.132000
124.000000	0.738333	0.000000	0.002000	0.030000	0.124000	0.354000	0.360000	0.130000
128.000000	0.743667	0.000000	0.000000	0.032000	0.126000	0.330000	0.372000	0.140000
132.000000	0.761667	0.000000	0.000000	0.024000	0.112000	0.314000	0.370000	0.180000
136.000000	0.758333	0.000000	0.006000	0.018000	0.112000	0.324000	0.364000	0.176000
140.000000	0.741333	0.000000	0.004000	0.020000	0.130000	0.350000	0.362000	0.134000
144.000000	0.746333	0.000000	0.008000	0.026000	0.108000	0.332000	0.390000	0.136000
148.000000	0.732000	0.000000	0.004000	0.032000	0.150000	0.324000	0.362000	0.128000
152.000000	0.738333	0.000000	0.004000	0.018000	0.158000	0.344000	0.316000	0.160000
156.000000	0.748000	0.000000	0.000000	0.050000	0.122000	0.284000	0.378000	0.166000
160.000000	0.750000	0.000000	0.002000	0.036000	0.110000	0.318000	0.380000	0.154000
164.000000	0.747333	0.000000	0.000000	0.026000	0.104000	0.364000	0.372000	0.134000
168.000000	0.729667	0.000000	0.006000	0.022000	0.132000	0.362000	0.384000	0.094000
172.000000	0.769667	0.000000	0.000000	0.018000	0.098000	0.324000	0.368000	0.192000
176.000000	0.737333	0.000000	0.004000	0.024000	0.128000	0.356000	0.364000	0.124000
180.000000	0.746000	0.000000	0.002000	0.026000	0.134000	0.324000	0.360000	0.154000
184.000000	0.742333	0.000000	0.000000	0.018000	0.170000	0.310000	0.344000	0.158000
188.000000	0.750000	0.000000	0.002000	0.024000	0.122000	0.314000	0.400000	0.138000
192.000000	0.749000	0.000000	0.002000	0.030000	0.118000	0.330000	0.362000	0.158000
196.000000	0.745000	0.000000	0.000000	0.028000	0.144000	0.310000	0.366000	0.152000
200.000000	0.736000	0.000000	0.006000	0.036000	0.130000	0.322000	0.376000	0.130000
