%scan variable	Ion1	Ion2	Ion3	Ion4	Ion5	Ion6
0.000001	0.950000	0.918000	0.830000	0.760000	0.606000	0.422000
4.000001	0.952000	0.900000	0.824000	0.730000	0.624000	0.446000
8.000001	0.940000	0.898000	0.838000	0.752000	0.628000	0.458000
12.000001	0.948000	0.910000	0.812000	0.730000	0.618000	0.486000
16.000002	0.936000	0.882000	0.804000	0.710000	0.620000	0.438000
20.000002	0.942000	0.876000	0.814000	0.690000	0.592000	0.436000
24.000002	0.950000	0.896000	0.810000	0.712000	0.584000	0.466000
28.000002	0.940000	0.888000	0.826000	0.736000	0.596000	0.470000
32.000000	0.952000	0.886000	0.824000	0.698000	0.562000	0.464000
36.000000	0.948000	0.864000	0.790000	0.702000	0.558000	0.468000
40.000000	0.954000	0.892000	0.848000	0.750000	0.640000	0.480000
44.000000	0.940000	0.870000	0.810000	0.724000	0.598000	0.472000
48.000000	0.930000	0.914000	0.812000	0.690000	0.612000	0.474000
52.000000	0.922000	0.892000	0.820000	0.720000	0.576000	0.502000
56.000000	0.936000	0.890000	0.798000	0.738000	0.594000	0.462000
60.000000	0.958000	0.902000	0.828000	0.734000	0.594000	0.438000
64.000000	0.918000	0.916000	0.822000	0.718000	0.616000	0.450000
68.000000	0.954000	0.890000	0.818000	0.724000	0.620000	0.466000
72.000000	0.912000	0.866000	0.800000	0.718000	0.610000	0.476000
76.000000	0.930000	0.902000	0.806000	0.692000	0.584000	0.432000
80.000000	0.948000	0.830000	0.782000	0.688000	0.582000	0.392000
84.000000	0.924000	0.870000	0.798000	0.668000	0.512000	0.390000
88.000000	0.914000	0.870000	0.768000	0.672000	0.566000	0.432000
92.000000	0.920000	0.870000	0.820000	0.760000	0.622000	0.494000
96.000000	0.952000	0.888000	0.798000	0.698000	0.604000	0.444000
100.000000	0.956000	0.908000	0.804000	0.710000	0.612000	0.442000
104.000000	0.938000	0.878000	0.802000	0.710000	0.550000	0.444000
108.000000	0.934000	0.840000	0.794000	0.734000	0.542000	0.430000
112.000000	0.948000	0.866000	0.822000	0.702000	0.574000	0.458000
116.000000	0.928000	0.848000	0.804000	0.742000	0.600000	0.448000
120.000000	0.932000	0.878000	0.846000	0.734000	0.598000	0.450000
124.000000	0.946000	0.868000	0.848000	0.724000	0.616000	0.428000
128.000000	0.942000	0.880000	0.830000	0.728000	0.604000	0.478000
132.000000	0.948000	0.900000	0.826000	0.774000	0.666000	0.456000
136.000000	0.936000	0.920000	0.848000	0.736000	0.632000	0.478000
140.000000	0.938000	0.876000	0.812000	0.738000	0.624000	0.460000
144.000000	0.934000	0.886000	0.838000	0.776000	0.578000	0.466000
148.000000	0.946000	0.884000	0.838000	0.722000	0.558000	0.444000
152.000000	0.950000	0.886000	0.772000	0.724000	0.602000	0.496000
156.000000	0.944000	0.892000	0.822000	0.730000	0.650000	0.450000
160.000000	0.952000	0.904000	0.830000	0.732000	0.614000	0.468000
164.000000	0.950000	0.908000	0.818000	0.726000	0.614000	0.468000
168.000000	0.942000	0.906000	0.810000	0.722000	0.592000	0.406000
172.000000	0.942000	0.902000	0.852000	0.782000	0.650000	0.490000
176.000000	0.922000	0.880000	0.836000	0.742000	0.604000	0.440000
180.000000	0.936000	0.878000	0.786000	0.766000	0.638000	0.472000
184.000000	0.958000	0.874000	0.832000	0.718000	0.612000	0.460000
188.000000	0.950000	0.888000	0.812000	0.742000	0.636000	0.472000
192.000000	0.944000	0.886000	0.830000	0.754000	0.606000	0.474000
196.000000	0.938000	0.910000	0.836000	0.700000	0.576000	0.510000
200.000000	0.936000	0.870000	0.834000	0.722000	0.586000	0.468000
